title,category,nominee,artist,workers,img
61st Annual GRAMMY Awards  (2018),Best Country Song,Space Cowboy,,"Luke Laird, Shane McAnally & Kacey Musgraves, songwriters (Kacey Musgraves)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Shane%2BMcAnally/Shane%2520McAnally_1_1_1575358807.jpg?itok=1yX7pCnx
61st Annual GRAMMY Awards  (2018),Best Country Album,Golden Hour,Kacey Musgraves,"Ian Fitchuk, Kacey Musgraves & Daniel Tashian, producers; Craig Alvin & Shawn Everett, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/kaceymusgraves-spotlight-510439046.png?itok=rA315_0l
61st Annual GRAMMY Awards  (2018),Best New Age Album,Opium Moon,Opium Moon,"Opium Moon, producers; Lucas Fehring & Jeff Gartenbaum, engineers/mixers",
61st Annual GRAMMY Awards  (2018),Best Improvised Jazz Solo,Don't Fence Me In,,"John Daversa, soloist",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/John%2BDaversa/John%2520Daversa_1_1_1575357407.jpg?itok=bdXZDJLO
61st Annual GRAMMY Awards  (2018),Best Jazz Vocal Album,The Window,Cécile McLorin Salvant,"Sullivan Fortner, Al Pryor & Cécile McLorin Salvant, producers; Todd Whitelock, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Sullivan%2BFortner/Sullivan%2520Fortner_1_1_1575355729.jpg?itok=vMx-gwni
61st Annual GRAMMY Awards  (2018),Best Jazz Instrumental Album,Emanon,The Wayne Shorter Quartet,"Don Was, producer; Rob Griffin, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Don%2BWas/Don%2520Was_1_1_1576613976.jpg?itok=D7MZFOq7
61st Annual GRAMMY Awards  (2018),Best Large Jazz Ensemble Album,"American Dreamers: Voices Of Hope, Music Of Freedom",John Daversa Big Band Featuring DACA Artists,"Doug Davis & Kabir Sehgal, producers; Oscar Autie, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Doug%2BDavis/Doug%2520Davis_1_1_1575355732.jpg?itok=IZn5CZvX
61st Annual GRAMMY Awards  (2018),Best Latin Jazz Album,Back To The Sunset,Dafnis Prieto Big Band,"Eric Oberstein, producer; Joe Marciano & Max Ross, engineers/mixers",
61st Annual GRAMMY Awards  (2018),Best Gospel Performance/Song,Never Alone,,"Tori Kelly Featuring Kirk Franklin; Kirk Franklin & Victoria Kelly, songwriters",https://www.grammy.com/sites/com/files/styles/artist_circle/public/tori_kelly_spotlight_669215130.png?itok=ZDcqLHBM
61st Annual GRAMMY Awards  (2018),Best Contemporary Christian Music Performance/Song,You Say,,"Lauren Daigle; Lauren Daigle, Jason Ingram & Paul Mabury, songwriters",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Lauren%2BDaigle/Lauren%2520Daigle_1_1_1575357949.jpg?itok=ylK_lsOV
61st Annual GRAMMY Awards  (2018),Best Gospel Album,Hiding Place,Tori Kelly,"Kirk Franklin, Ronald Hill & Max Stark, producers; Rob Chiarelli & Michael Havens, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/tori_kelly_spotlight_669215130.png?itok=ZDcqLHBM
61st Annual GRAMMY Awards  (2018),Best Contemporary Christian Music Album,Look Up Child,Lauren Daigle,"Jason Ingram & Paul Mabury, producers; Mark Endert & Buckley Miller, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Lauren%2BDaigle/Lauren%2520Daigle_1_1_1575357949.jpg?itok=ylK_lsOV
61st Annual GRAMMY Awards  (2018),Best Roots Gospel Album,Unexpected,Jason Crabb,"Jay DeMarcus, producer; Derek Bason, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Jason%2BCrabb/Jason%2520Crabb_1_1_1576335641.jpg?itok=h8e5dupC
61st Annual GRAMMY Awards  (2018),Best Latin Pop Album,Sincera,Claudia Brant,"Cheche Alara & Antonio ""Moogie"" Canazio, producers; Antonio ""Moogie"" Canazio, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Cheche%2BAlara/Cheche%2520Alara_1_1_1575355739.jpg?itok=6Rmqakx1
61st Annual GRAMMY Awards  (2018),"Best Latin Rock, Urban or Alternative Album",Aztlán,Zoé,"Phil Vinall & Zoé, producers; Juan Sebastian Rodriguez & Craig Silvey, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Phil%2BVinall/Phil%2520Vinall_1_1_1575355722.jpg?itok=ycvRStUN
61st Annual GRAMMY Awards  (2018),Best Regional Mexican Music Album (Including Tejano),¡México Por Siempre!,Luis Miguel,"Luis Miguel & David Reitzas, producers; David Reitzas & Jess Sutcliffe, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Luis%2BMiguel/Luis%2520Miguel_1_1_1575364370.jpg?itok=18dNxX0Y
61st Annual GRAMMY Awards  (2018),Best Tropical Latin Album,Anniversary,Spanish Harlem Orchestra,"Doug Beavers, producer; Kyle Cassel & Guido Diaz, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Doug%2BBeavers/Doug%2520Beavers_1_1_1575356784.jpg?itok=lGaqpCtR
61st Annual GRAMMY Awards  (2018),Best American Roots Performance,The Joke,Brandi Carlile,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/brandicarlile-spotlight.png?itok=-cCt1FRn
61st Annual GRAMMY Awards  (2018),Best American Roots Song,The Joke,,"Brandi Carlile, Dave Cobb, Phil Hanseroth & Tim Hanseroth, songwriters (Brandi Carlile)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/brandicarlile-spotlight.png?itok=-cCt1FRn
61st Annual GRAMMY Awards  (2018),Best Americana Album,"By The Way, I Forgive You",Brandi Carlile,"Dave Cobb & Shooter Jennings, producers; Eddie Spear, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/brandicarlile-spotlight.png?itok=-cCt1FRn
61st Annual GRAMMY Awards  (2018),Best Bluegrass Album,The Travelin' McCourys,The Travelin' McCourys,"The Travelin' McCourys, producers; Sean Sullivan, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/The%2BTravelin%2527%2BMcCourys/The%2520Travelin%2527%2520McCourys_1_1_1575355789.jpg?itok=_cuDV1DT
61st Annual GRAMMY Awards  (2018),Best Traditional Blues Album,The Blues Is Alive And Well,Buddy Guy,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/buddyguy-spotlight-479390988.png?itok=ilgBK7rg
61st Annual GRAMMY Awards  (2018),Best Contemporary Blues Album,Please Don't Be Dead,Fantastic Negrito,"Fantastic Negrito, producer; Nahuel Bronzini, Alexandro ""Migui"" Maloles & Matt Winegar, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Fantastic%2BNegrito/Fantastic%2520Negrito_1_1_1575357373.jpg?itok=3hYD10aD
61st Annual GRAMMY Awards  (2018),Best Folk Album,All Ashore,Punch Brothers,"Punch Brothers, producers; Jason Wormer, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Punch%2BBrothers/Punch%2520Brothers_1_1_1575370210.jpg?itok=Wknd-r93
61st Annual GRAMMY Awards  (2018),Best Regional Roots Music Album,No 'Ane'i,Kalani Pe'a,"Allan B. Cool, Kalani Pe'a & Dave Tucciarone, producers; Dave Tucciarone, engineer/mixer",
61st Annual GRAMMY Awards  (2018),Best Reggae Album,44/876,Sting & Shaggy,"Sting International, producer; Tony Lake & Robert Orton, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/sting_spotlight_645634862.png?itok=ZcQSvGc9
61st Annual GRAMMY Awards  (2018),Best World Music Album,Freedom,Soweto Gospel Choir,"Diniloxolo Ndlakuse, producer; Gabs Agostino, Tarick Joseph, Richard Mitchell & Oyama Songo, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Soweto%2BGospel%2BChoir/Soweto%2520Gospel%2520Choir_1_1_1575368363.jpg?itok=qnh1SQtn
61st Annual GRAMMY Awards  (2018),Best Children's Album,All The Sounds,Lucy Kalantari & The Jazz Cats,"Denise Barbarita, engineer/mixer",
61st Annual GRAMMY Awards  (2018),"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",Faith  - A Journey For All,Jimmy Carter,"Elisa Shokoff, producer; Rick Bradley & John St. Denis, engineers/mixers",
61st Annual GRAMMY Awards  (2018),Best Comedy Album,Equanimity & The Bird Revelation,Dave Chappelle,"Rikki Hughes, Stan Lathan, Sina Sadighi, Carla Sims & Geof Wills, producers; Brian Riordan, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Dave%2BChappelle/Dave%2520Chappelle_1_1_1574346009.jpg?itok=L7Cpr_bU
61st Annual GRAMMY Awards  (2018),Best Musical Theater Album,The Band's Visit,,"Etai Benson, Adam Kantor, Katrina Lenk & Ari'el Stachel, principal soloists; Dean Sharenow & David Yazbek, producers; David Yazbek, composer & lyricist (Original Broadway Cast); Dean Sharenow, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Adam%2BKantor/Adam%2520Kantor_1_1_1575356077.jpg?itok=a45CX6-1
61st Annual GRAMMY Awards  (2018),Best Compilation Soundtrack For Visual Media,The Greatest Showman,Hugh Jackman (& Various Artists),"Alex Lacamoire, Benj Pasek, Justin Paul & Greg Wells, compilation producers; Derik Lee, Ian MacGregor & Greg Wells, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Justin%2BPaul/Justin%2520Paul_1_1_1575356562.jpg?itok=K220plb1
61st Annual GRAMMY Awards  (2018),Best Score Soundtrack For Visual Media,Black Panther,,"Ludwig Göransson, composer; Ludwig Göransson, producer; Chris Fogel, engineer/mixer",
61st Annual GRAMMY Awards  (2018),Best Song Written For Visual Media,Shallow,,"Lady Gaga, Mark Ronson, Anthony Rossomando & Andrew Wyatt, songwriters (Lady Gaga & Bradley Cooper)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/ladygaga-spotlight-90799382.png?itok=GDV1TTDc
61st Annual GRAMMY Awards  (2018),Best Instrumental Composition,Blut Und Boden (Blood And Soil),,"Terence Blanchard, composer (Terence Blanchard)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Terence%2BBlanchard/Terence%2520Blanchard_1_1_1575371396.jpg?itok=nhLcp1nr
61st Annual GRAMMY Awards  (2018),"Best Arrangement, Instrumental or A Cappella",Stars And Stripes Forever,,"John Daversa, arranger (John Daversa Big Band Featuring DACA Artists)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/John%2BDaversa/John%2520Daversa_1_1_1575357407.jpg?itok=bdXZDJLO
61st Annual GRAMMY Awards  (2018),"Best Arrangement, Instruments and Vocals",Spiderman Theme,,"Mark Kibble, Randy Waldman & Justin Wilson, arrangers (Randy Waldman Featuring Take 6 & Chris Potter)",
61st Annual GRAMMY Awards  (2018),Best Recording Package,Masseduction,,"Willo Perron, art director (St. Vincent)",
61st Annual GRAMMY Awards  (2018),Best Boxed Or Special Limited Edition Package,"Squeeze Box: The Complete Works Of ""Weird Al"" Yankovic",,"Meghan Foley, Annie Stoll & Al Yankovic, art directors (""Weird Al"" Yankovic)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/weird_al_yankovic_spotlight_510334176.png?itok=u7SwDHr0
61st Annual GRAMMY Awards  (2018),Best Album Notes,Voices Of Mississippi: Artists And Musicians Documented By William Ferris,,"David Evans, album notes writer (Various Artists)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/David%2BEvans/David%2520Evans_1_1_1575372852.jpg?itok=-rKRxjmR
61st Annual GRAMMY Awards  (2018),Best Historical Album,Voices Of Mississippi: Artists And Musicians Documented By William Ferris,,"William Ferris, April Ledbetter & Steven Lance Ledbetter, compilation producers; Michael Graves, mastering engineer (Various Artists)",
61st Annual GRAMMY Awards  (2018),"Best Engineered Album, Non-Classical",Colors,,"Julian Burg, Serban Ghenea, David “Elevator” Greenbaum, John Hanes, Beck Hansen, Greg Kurstin, Florian Lagatta, Cole M.G.N., Alex Pasco, Jesse Shatkin, Darrell Thorp & Cassidy Turbin, engineers; Chris Bellman, Tom Coyne, Emily Lazar & Randy Merrill, mastering engineers (Beck)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/beck-spotlight-486799285.png?itok=Sm9lBMMy
61st Annual GRAMMY Awards  (2018),"Producer Of The Year, Non-Classical",Pharrell Williams,,,
61st Annual GRAMMY Awards  (2018),Best Remixed Recording,Walking Away (Mura Masa Remix),,"Alex Crossan, remixer (Haim)",
61st Annual GRAMMY Awards  (2018),Best Immersive Audio Album,Eye In The Sky - 35th Anniversary Edition,,"Alan Parsons, surround mix engineer; Dave Donnelly, PJ Olsson & Alan Parsons, surround mastering engineers; Alan Parsons, surround producer (The Alan Parsons Project)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Alan%2BParsons/Alan%2520Parsons_1_1_1576338840.jpg?itok=hDjqp717
61st Annual GRAMMY Awards  (2018),"Best Engineered Album, Classical",Shostakovich: Symphonies Nos. 4 & 11,,"Shawn Murphy & Nick Squire, engineers; Tim Martyn, mastering engineer (Andris Nelsons & Boston Symphony Orchestra)",
61st Annual GRAMMY Awards  (2018),"Producer Of The Year, Classical",Blanton Alspaugh,,,
61st Annual GRAMMY Awards  (2018),Best Orchestral Performance,Shostakovich: Symphonies Nos. 4 & 11,,"Andris Nelsons, conductor (Boston Symphony Orchestra); Tim Martyn, producer; Shawn Murphy & Nick Squire, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Andris%2BNelsons/Andris%2520Nelsons_1_1_1575357719.jpg?itok=nzbgplkA
61st Annual GRAMMY Awards  (2018),Best Opera Recording,Bates: The (R)evolution Of Steve Jobs,,"Michael Christie, conductor; Sasha Cooke, Jessica E. Jones, Edward Parks, Garrett Sorenson & Wei Wu; Elizabeth Ostrow, producer (The Santa Fe Opera Orchestra); Mark Donahue & Dirk Sobotka, engineers; Mark Donahue, mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Michael%2BChristie/Michael%2520Christie_1_1_1575391202.jpg?itok=V8ZOHvoo
61st Annual GRAMMY Awards  (2018),Best Choral Performance,McLoskey: Zealot Canticles,,"Donald Nally, conductor (Doris Hall-Gulati, Rebecca Harris, Arlen Hlusko, Lorenzo Raval & Mandy Wolman; The Crossing); Paul Vazquez, producer",
61st Annual GRAMMY Awards  (2018),Best Chamber Music/Small Ensemble Performance,"Anderson, Laurie: Landfall",,"Laurie Anderson & Kronos Quartet; Scott Fraser, producer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Laurie%2BAnderson/Laurie%2520Anderson_1_1_1575373178.jpg?itok=k_0q_xIo
61st Annual GRAMMY Awards  (2018),Best Classical Instrumental Solo,Kernis: Violin Concerto,,"James Ehnes; Ludovic Morlot, conductor (Seattle Symphony)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/James%2BEhnes/James%2520Ehnes_1_1_1575359964.jpg?itok=J4ESzk_E
61st Annual GRAMMY Awards  (2018),Best Classical Solo Vocal Album,"Songs Of Orpheus - Monteverdi, Caccini, D'India & Landi",,"Karim Sulayman; Jeannette Sorrell, conductor; Apollo's Fire, ensembles; Erica Brenner, producer; Ian Dobie, engineer; Ian Dobie & Daniel Shores, mixers",
61st Annual GRAMMY Awards  (2018),Best Classical Compendium,Fuchs: Piano Concerto 'Spiritualist'; Poems Of Life; Glacier; Rush,,"JoAnn Falletta, conductor; Tim Handley, producer; Jonathan Allen, engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/JoAnn%2BFalletta/JoAnn%2520Falletta_1_1_1575367929.jpg?itok=kOPnOzBI
61st Annual GRAMMY Awards  (2018),Best Contemporary Classical Composition,Kernis: Violin Concerto,,"Aaron Jay Kernis, composer (James Ehnes, Ludovic Morlot & Seattle Symphony)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Aaron%2BJay%2BKernis/Aaron%2520Jay%2520Kernis_1_1_1575363885.jpg?itok=0xWTT3mU
61st Annual GRAMMY Awards  (2018),Best Music Video,This Is America,Childish Gambino,"Hiro Murai, video director; Ibra Ake, Jason Cole & Fam Rothstein, video producers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/childishgambino-spotlight.png?itok=pjH-sfYc
61st Annual GRAMMY Awards  (2018),Best Music Film,Quincy,Quincy Jones,"Alan Hicks & Rashida Jones, video directors; Paula DuPré Pesmen, video producer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/quincy_jones_spotlight_869190054.png?itok=mg5doini
60th Annual GRAMMY Awards  (2017),Record Of The Year,24K Magic,Bruno Mars,"Shampoo Press & Curl (Christopher Brody Brown, Philip Lawrence & Bruno Mars), producers; Serban Ghenea, John Hanes & Charles Moniz, engineers/mixers; Tom Coyne, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/brunomars-spotlight.png?itok=7a6al8XH
60th Annual GRAMMY Awards  (2017),Album Of The Year,24K Magic,Bruno Mars,"Shampoo Press & Curl (Christopher Brody Brown, Philip Lawrence & Bruno Mars), producers; Serban Ghenea, John Hanes & Charles Moniz, engineers/mixers; Christopher Brody Brown, James Fauntleroy, Philip Lawrence & Bruno Mars, songwriters; Tom Coyne, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/brunomars-spotlight.png?itok=7a6al8XH
60th Annual GRAMMY Awards  (2017),Song Of The Year,That's What I Like,,"Christopher Brody Brown, James Fauntleroy, Philip Lawrence, Bruno Mars, Ray Charles McCullough II, Jeremy Reeves, Ray Romulus & Jonathan Yip, songwriters (Bruno Mars)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/James%2BFauntleroy/James%2520Fauntleroy_1_1_1575358949.jpg?itok=VKywrnEO
60th Annual GRAMMY Awards  (2017),Best New Artist,Alessia Cara,,,
60th Annual GRAMMY Awards  (2017),Best Pop Solo Performance,Shape Of You,Ed Sheeran,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/edsheeran-spotlight-478072284.png?itok=HZiceo16
60th Annual GRAMMY Awards  (2017),Best Pop Duo/Group Performance,Feel It Still,Portugal. The Man,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/portugal_the_man_spotlight.png?itok=UC_AIwPD
60th Annual GRAMMY Awards  (2017),Best Traditional Pop Vocal Album,Tony Bennett Celebrates 90,(Various Artists),"Dae Bennett, producer; Dae Bennett & John Harris, engineers/mixers",
60th Annual GRAMMY Awards  (2017),Best Pop Vocal Album,÷ (Divide),Ed Sheeran,"Ed Sheeran, producer; Joe Rubel, Chris Sclafani & Mark ""Spike"" Stent, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/edsheeran-spotlight-478072284.png?itok=HZiceo16
60th Annual GRAMMY Awards  (2017),Best Dance Recording,Tonite,LCD Soundsystem,"James Murphy, producer; James Murphy, mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/lcd_soundsystem_spotlight_75705921.png?itok=GQny1aRc
60th Annual GRAMMY Awards  (2017),Best Dance/Electronic Album,3-D The Catalogue,Kraftwerk,"Serge Gräfe, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Kraftwerk/Kraftwerk_1_1_1575360657.jpg?itok=5Dpt8XLs
60th Annual GRAMMY Awards  (2017),Best Contemporary Instrumental Album,Prototype,Jeff Lorber Fusion,"Peter Mokran, engineer/mixer",
60th Annual GRAMMY Awards  (2017),Best Rock Performance,You Want It Darker,Leonard Cohen,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/leonardcohen-spotlight-158541834.png?itok=OyeckHpR
60th Annual GRAMMY Awards  (2017),Best Metal Performance,Sultan’s Curse,Mastodon,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/mastodon-spotlight-667380068.png?itok=MfcqODYk
60th Annual GRAMMY Awards  (2017),Best Rock Song,Run,,"Foo Fighters (Dave Grohl, Taylor Hawkins, Rami Jaffee, Nate Mendel, Chris Shiflett & Pat Smear), songwriters (Foo Fighters)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/foofighters-spotlight-510453312.png?itok=gMryUQp9
60th Annual GRAMMY Awards  (2017),Best Rock Album,A Deeper Understanding,The War On Drugs,"Shawn Everett, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/thewarondrugs-spotlight.png?itok=RHnVxQEB
