coordinate,address,city,state,postal_code,ad_type,description,beds,bath,sqr_lot,sqft,year,style,property_type,price,currency
"('37.789245', '-122.429064')",2101 California St,San Francisco,CA,94115,place,"Perched atop the SW corner of California and Laguna Streets in Pacific Heights, this majestic building with postcard views offers a significant add value opportunity for investors along with several Penthouse units for those looking for a special residence in San Francisco. First time on the market in 35+ years. Soft story compliant, banked rents, big rental upside. Four units, four garages, storage, and recreation room are currently owner occupied and will be delivered vacant at close of escrow.",,,"5,911","16,076",Built 1923,Style              Marina,Type Multi-Family Home,"$12,250,000",
"('37.753296', '-122.429354')",3880 23rd St,San Francisco,CA,94114,place,"Exquisitely renovated Italianate Victorian in a desirable location two blocks from the heart of the 24th Street shops, restaurants, and cafes. This stylish and airy 3+BD/3.5BA home features a gourmet kitchen-family room which steps out to a beautifully landscaped garden patio. The sublime master suite has a fresh-air balcony, walk-in closet, and stunning ensuite bath. The top floor pent room with wet bar is ideal for entertaining and casual living and may readily be adjusted for use as a fourth bedroom with ensuite bath and sitting room or used as au pair quarters. Two pent level decks bring the outdoors in and showcase wonderful outlooks. This open plan home is ideal for everyday living and for entertaining on a large or intimate scale. Additional features include: Solar panels, Nest system, and security alarm. 2-car garage with interior access plus additional off-street parking in the recessed driveway. 94 Walk Score - A Walker's Paradise!'",3,3.5,"2,426","3,432",Built 1900,Style  Contemporary/Victorian,Type Single Family Home,"$5,250,000",
"('37.759672', '-122.390863')",989 20th St Unit 565,San Francisco,CA,94107,place,"Come check out this stylish top 1 bedroom, 1.5 bathroom, 1 car parking condo at the Esprit Park complex in Dogpatch. The spacious unit comes with a private deck overlooking the courtyard, in-unit laundry, and hardwood floors with radiant heating throughout. The Chef's kitchen comes with granite counters and stainless steel appliances. Well managed building with a gym, media room and on site management. Enjoy one of the hottest neighborhoods in SF- dog friendly Esprit Park, Caltrain, Muni and all the new trendy shops, restaurants and artisanal delights of this fantastic 'hood!",1,1.5,,835,Built 2009,Style  Modern/High Tech,Type Condo/Townhome/Row Home/Co-Op,"$899,000",
"('', '')",1149 Fell St,San Francisco,CA,94117,place,"Remodeled with impeccable taste. Gorgeous, top floor, Edwardian condo will blow your mind with great attention to detail & craftsmanship. 1 block away from NOPA & Bi-Rite & 3 blocks to Che Fico, 4505 Barbecue & Little Star, some of the finest dining in The City, as well as local shops & conveniences sprinkled along the popular Divisadero Corridor. This opulent condo offers a very spacious & dramatic open concept space. The grand LR spans the width of the property, finished with designer lighting & inviting HW flooring. The living room is open to the large dining room, also with built in home theater/sound, HW floors & attractive lighting. Completing this spectacular space is a gourmet kitchen with generous custom cabinetry, incredible counter space & high-end appliances. Down the hall is a large, spa-like bathroom with a custom sink, shower over tub & wall mounted Toto toilet. The 2 BR's are down the hall. AC! Owner spared no expense in sound abatement. Come inside. It will amaze you!",2,1,,"1,410",Built 1925,Style  Modern/High Tech/Edwardian,Type Condo/Townhome/Row Home/Co-Op,"$1,425,000",
"('37.777452', '-122.411429')",660 Natoma St Apt 2,San Francisco,CA,94103,place,"Tucked away on a quiet, tree lined street in SOMA you'll find this boutique 4 unit building that was constructed in 2008. Enter the home & you're greeted by a wide plank floor that runs throughout. To your right is a laundry closet with a Miele washer/dryer. Next you come to the U shaped kitchen which boasts stainless steel appliances, including a Bertazzoni gas range. The custom two toned cabinets & Caesarstone counters combine to create a sophisticated look. The kitchen is open to the living/dining space which includes a gas fireplace, & walk out access to your deck. The 300 sq.ft. deck really expands the living space available to you; perfect for a quiet cup of coffee in the morning, or a raging barbecue event! The bathroom is stylishly finished with a shower over a very deep soaking tub. The bedroom also has direct access to the deck. To top it off the monthly HOA dues are just $250!!! Step outside your door to a world of shopping & dining options. BART and MUNI are both close by.",1,1,,541,Built 2008,Style  Contemporary,Type Condo/Townhome/Row Home/Co-Op,"$729,000",
"('37.787031', '-122.393642')",355 1st St Unit S1603,San Francisco,CA,94105,place,"This well-appointed residence is a rare and coveted corner-unit and the largest 1BD/1BA floor plan at the Metropolitan! Open entertaining area with incredible views and tremendous natural light from wrap-around windows make this unit an entertainer's dream. The expansive kitchen is equipped with stainless steel Bosch appliances, granite counters, and ample cabinetry. The marble bath offers shower over tub, while the bedroom has blackout shades and a very large closet. The Metropolitan is a South Beach luxury building with impressive amenities; 27/7 lobby attendant, indoor pool, spa, sauna, fitness center, business and conference rooms, rooftop terrace/BBQ, and a theater room. In-unit laundry, 1 pkg + storage. Walker's paradise near shops, eateries, entertainment, transit/freeway access with walk-score of 94 and transit-score of 100!",1,1,,795,Built 2004,Style  Contemporary,Type Condo/Townhome/Row Home/Co-Op,"$979,000",
"('37.780609', '-122.485524')",474-476 26th Ave,San Francisco,CA,94121,place,"Well maintained 3 legal unit building conveniently located just half block to Geary Boulevard & Clement Street shops restaurants, public transit, Golden Gate Park, Lands End, Cliff House, Ocean Beach, Lincoln Park, and Legion of Honor. Top floor of this Edwardian period building is vacant & staged offering 2-3 bedrooms, living room with fireplace, formal dining room, updated kitchen, full bath, and laundry room. Second floor offers a similar floor plan as the top floor. Ground level is a legally converted 3rd unit offering one bedroom one bath. Lower 2 floors are tenant occupied with combined income just shy of $5, 000 per month. The one car garage is for the top floor vacant unit. Great owner use with supplemental income!",5,3,"2,914","3,250",Built 1917,Built 1917,Type Multi-Family Home,"$2,100,000",
"('37.725587', '-122.423184')",743 Peru Ave,San Francisco,CA,94112,place,"Perched atop the hill, between Portola and Excelsior, a 3 tier mid-century home with a view has become available. It features a sweeping view of the Bay, Downtown, and City that can be enjoyed on both upper and lower levels. Upper level consists of a living room with fireplace, dining room, remodeled kitchen, 3 bedrooms, and 2 bathrooms. Street level has a 2-car side-by-side garage, 2 additional rooms with a view, and a bathroom. Below the street level, there is a uniquely large basement with high ceilings with additional expansion potential. It leads to a terraced multi-tiered back yard.",3,3,"2,996","1,550",Built 1964,Style  Traditional,Type Single Family Home,"$1,388,000",
"('37.795123', '-122.437982')",2472 Vallejo St,San Francisco,CA,94123,place,"Prime Pacific Heights location with sweeping Bay views and on a level lot....Has been in the same family for nearly 100 years...just two blocks to Union Street...Two upper flats are each approximately 1650 square feet with many period features; and include 9 foot ceilings, fireplaces and dining rooms overlooking the bay(additionally the 2nd floor unit features a 10' x 30' foot back deck)...Both upper flats have attached and separate one car garages)...Additionally a building permit is being finalized now with the lower level finished as a 840 square foot addition(2br/1bath, kitchen and great room) with a private yard.",4,,"3,598","3,900",Built 1922,Built 1922,Type Multi-Family Home,"$4,395,000",
"('37.715164', '-122.468284')",147 Vernon St,San Francisco,CA,94132,place,"Newly renovated beautiful single family home with lots of curb appeal. Chefs kitchen with modern Bosche stainless steel appliances, new lighting fixtures, and stunning backyard complete with new patio and landscaping. Absolute must see home new on the market!",0,1,"2,495","1,000",Built 1941,Style  Traditional/Modern/High Tech,Type Single Family Home,"$1,300,000",
"('37.785822', '-122.469668')",130 11th Ave,San Francisco,CA,94118,place,"Enter this updated Lake District home through the welcoming front porch. The bright and spacious living room has a gas fireplace, built-in bookcases, and a coffered ceiling. The adjacent dining room has a box beam ceiling and is ideal for entertaining. Separated from the dining room by a breakfast bar, the beautifully remodeled, modern kitchen has high-end appliances and marble counters. The garden is accessible from this level. A half-bath is off the kitchen, as are laundry facilities. The second story includes a remodeled split bath and three comfortable bedrooms. On the top floor of the home is a flexible space used as a family room. A one-car garage and bonus room are on the garden level. Approved plans for renovation and expansion are available. Ideally located close to Mountain Lake Park and the Presidio .",3,1.5,"3,000","1,750",Built 1910,Style  Traditional,Type Single Family Home,"$2,495,000",
"('37.76856', '-122.426308')",35 Dolores St Apt 408,San Francisco,CA,94103,place,"Rarely available fabulous light and airy view condo is in one of the most sought after neighborhoods in San Francisco. This top floor condo has 3 bedrooms and 2 bathrooms. The Living/Dining/Kitchen area has an open floorplan with wood floors, private balcony, fireplace, Viking stainless appliances, european cabinets, and a moveable island. The master bedroom features clerestory windows, private balcony, dual vanity with a shower over a bathtub and a walk-in closet The spacious 2 full bedrooms have carpeting and share a full bathroom. There is one car garage parking and additional storage. The common areas include a shared garden with a dog walking area plus a dog wash basin in the garage. The building provides a 1 bedroom suite with a kitchen for homeowners overnight guests. Walk to Valencia St., Castro, Hayes Valley for restaurants, bars & shopping. 3 blocks to Dolores Park, close to BART, public transportation and tech buses. Minutes to Hwys. 101 and 280.",3,2,,"1,313",Built 2015,Style  Contemporary,Type Condo/Townhome/Row Home/Co-Op,"$1,995,000",
"('37.762698', '-122.404593')",550 Vermont St,San Francisco,CA,94107,place,"Welcome to 550 Vermont, a serene and beautiful perch looking out to the city skyline as well as to the West. The spacious and comfortably laid out home will bathe you in light at every turn. With two sorties of living space and a full floor master suite, this home feels both expansive and cozy. The open plan kitchen and living areas are perfect for social gatherings and family life with space enough for houseguests to have a feeling of privacy. The walkout patio off of the first floor looks to the West and over the shared garden with its sitting area and plantings. Ample storage in the unit and allotted storage in the garage is an added bonus. In unit washer and dryer and one car parking. A short walk to commerce and with easy freeway access and public transit, this home checks every box.",3,2,,"1,469",Built 1900,Built 1900,Type Condo/Townhome/Row Home/Co-Op,"$1,495,000",
"('37.792257', '-122.401242')",201 Sansome St Unit 1002,San Francisco,CA,94104,place,"The landmark Royal Insurance building, where elegance meets approachability in this unique 2-story penthouse condo. Coveted southern facing corner location and graced with natural light and city views. This is a rare opportunity to live in one of the richest of all downtown historical buildings in a desirable Financial District location. Surrounded by SF's highly acclaimed restaurants, nearby Ferry Building, Union Square and the convenience of Equinox Gym across the street, you may never want to venture more than a few blocks from your front door. You'll be impressed the moment you step into this 2bed/2.5 bath home with a custom staircase, beautiful hardwood floors, quality fixtures and appliances, custom window coverings, designer touches and spacious floorplan. The rooftop deck is a perfect place to end the day with your favorite beverage. In-unit washer/dryer, dedicated substantial storage unit and a convenient off-site parking option make this a perfect place to call home.",2,2.5,"5,876","1,473",Built 1909,Style  Georgian,Type Condo/Townhome/Row Home/Co-Op,"$1,599,000",
"('37.791386', '-122.416696')",1350 California St Apt 206,San Francisco,CA,94109,place,"Live the S.F. Vibe!Attention all downsizers, & couples, young millenials who want the prestigious Nob Hill neighborhood. On the California Cable Car line, crisp and clean newly remodeled 2BD/2Ba located on the quiet Courtyard side of the well-maintained & attractive building.Private deck, 1-car deeded garage pkg.+ guest pkg.avail.Elevator, intercom entry, in-bldg.laundry.Walk to Whole Foods, T.J's, Tech Shuttles, Muni, Polk St. Nite Life & award winning restaurants, shops & galleries.",2,2,0.33,"1,165",Built 1984,Style  Contemporary,Type Condo/Townhome/Row Home/Co-Op,"$1,168,000",
"('37.756832', '-122.444568')",7 Burnett Ave Unit 1,San Francisco,CA,94131,place,"Inspiring panoramic views from the Golden Gate to Bay Bridge. Enjoy a view from the expansive open plan living room with floor to ceiling windows & walk out deck. High ceilings and grand scale rooms throughout the 2686 sq ft home (per tax records). The dining room and kitchen are designed for the chef in you; great for entertaining. You may never want to leave the grand master bedroom suite with amazing views, private deck, separate dressing room, your own sitting room with fireplace & master bath with steam shower, jacuzzi and a top of the line wet/dry sauna. Centrally located at the top of the city.",3,2,,"2,686",Built 1983,Style  Contemporary,Type Condo/Townhome/Row Home/Co-Op,"$1,990,000",
"('37.761606', '-122.419761')",2208 Mission St Unit 305,San Francisco,CA,94110,place,"2208 Mission, built in 2009, is located in the vibrant Mission district, with restaurants, coffee shops, and retail stores a hop, skip, and jump away. The building combines residential and retail condosthere are a grocery store and a coffee shop on the ground floor. The master bedroom of #305 has a bath en suite, while the other two bedrooms share a hall bath. One deeded parking spot is on the second floor of the building, directly underneath the unit. Owned by the same person since 2009, the condo served as the seller's home and art studio, with brilliant light pouring into the corner bedroom, the space that housed his studio. With much of the unit in original condition, and given its generous size, the possibilities for personalizing this blank canvas of a condo are limited only by the walls and one's imagination. Visit and check out the 360 views from the common area roof deck!",3,2,,"1,173",Built 2009,Style  Contemporary,Type Condo/Townhome/Row Home/Co-Op,"$1,150,000",
"('37.764088', '-122.410828')",1800 Bryant St Apt 315,San Francisco,CA,94110,place,"Spectacular light-filled, TOP-FLOOR loft with WOW factor VIEWS from both levels! This unique view loft boasts soaring ceilings, floor-to-ceiling windows, a gracious floor plan and a huge walkout private deck ideal for entertaining. Lower level features a well-appointed kitchen, spacious dining area, sunken living room with custom built-in cabinets and full bath. The upper level has a generous bedroom with a walk-in closet as well as a free standing closet and a full bath. 1 Car Parking. Stones throw to restaurants, cafes, bars, shopping, and more. Near MUNI, BART and easy access to 101/280. Don't miss this super special property!",1,2,,,Built 2000,Built 2000,Type Condo/Townhome/Row Home/Co-Op,"$1,149,000",
"('37.745366', '-122.433753')",2012 Castro St,San Francisco,CA,94131,place,"Arise each morning with stunning views of the Downtown San Francisco skyline and the rolling hills of Noe Valley from the bay windows of the master suite of this sophisticated, highly upgraded and tastefully remodeled, three story townhome. An oversized, light filled en suite bathroom features a gorgeous soak tub, an enormous steam shower and a Burberry inspired heated tiled floor. Natural light abounds in this east/west facing home with abundant windows, skylights and sliding garden doors that lead to a peaceful two level, professionally designed zen garden with waterfall. The two levels feature a generous sized deck off the kitchen going down to a much larger patio. Both areas are done with Trex decking and are perfect for entertaining or for a quiet outdoor retreat. The main entrance greets you with a large etched glass entry door with side and transom light panels and stone tiled floors that lead to the third bedroom and bathroom that open out to the back terrace and garden.",3,2.5,,"2,435",Built 1987,Style  Contemporary/Traditional,Type Condo/Townhome/Row Home/Co-Op,"$1,950,000",
"('37.73957', '-122.448958')",32 Sequoia Way,San Francisco,CA,94127,place,"Extraordinary 5 Bedroom, 5 Bath residence highlighted with 3 En-Suite Bedrooms. The spacious living room with high ceilings and gas fireplace, open formal dining area, and gourmet kitchen with top end appliances are the center pieces of the home's main level. The family/social room leads out to the deck and backyard! The lower level features 2 large bedrooms and 2 full baths. There are balconies outside the master bedroom and master bath that provide stunning views of San Francisco. For truly great unobstructed panoramic views, venture out onto the stunning roof deck! Your home will be the envy of your guests!",5,5,"3,314","2,765",Built 1931,Style  Contemporary,Type Single Family Home,"$2,799,000",
"('37.742579', '-122.475284')",2424 19th Ave,San Francisco,CA,94116,place,"good schools | View 26 photos of this 5 bed, 4 bath, 2,350 Sq. Ft. single family home at 2424 19th Ave, San Francisco, CA 94116 on sale now for $1,650,000.",5,4,"2,256","2,350",Built 1924,Built 1924,Type Single Family Home,"$1,650,000",
"('37.757284', '-122.42057')",380 Lexington St,San Francisco,CA,94110,place,"Originally built in 1876, this renovated and updated, Italianate style home sits at the end of a row of classic San Francisco Victorian's on the quiet & tree lined Lexington Street in the heart of the Mission District. 10'+ ceilings and high end finishes throughout the building coupled with significant structural upgrades and cosmetic upgrades in keeping with the homes historic status. Henry Built cabinetry/closets, high end appliances, and radiant heating on all 3 levels. Detached on all 4 sides and light filled on every floor. Spacious rear yard and oversized 1 car garage. A rare opportunity to purchase on a storied Mission District block.",4,4,"1,613","2,185",Built 1880,Style  Victorian,Type Single Family Home,"$2,900,000",
"('37.757738', '-122.411041')",2826 21st St,San Francisco,CA,94110,place,"Open tonight! This 3 bed / 2 bath urban oasis with soaring ceilings will impress, yet relax you. Who would have thought being in the middle of the Inner Mission would make you feel like unwinding, looking out at the Downtown lights and a lush, green garden. No stone has been left unturned in this extensive remodel, from chef's kitchen with Fisher & Paykel appliances to the incredible lighting - everything is reimagined with crisp, clean lines that bring life to the property. Come visit and enjoy the incredible 98 Walk Score, with Atlas Cafe, Flour + Water, and Gus's Market all close by. Downtown views and a meticulously landscaped garden complete this beautiful, contemporary home. Don't miss!",3,2,,,Built 1910,Style  Modern/High Tech,Type Condo/Townhome/Row Home/Co-Op,"$1,495,000",
"('37.719033', '-122.467772')",362 Vernon St,San Francisco,CA,94132,place,"Charming light-filled Ocean view 1940's SFH located in desirable Merced Heights. Main level consist of living room, 2 bedrooms, 1 full bath with skylight. Hardwood floors in LR and upper bedrooms. Remodeled kitchen with skylight, new appliances, cabinetry and quartz counter top. Downstairs unwarranted room and full bath. Expansion potential! Large rear yard and New roof.",2,1,"2,495",800,Built 1944,Built 1944,Type Single Family Home,"$925,000",
"('37.793212', '-122.423745')",1840 Washington St Apt 201,San Francisco,CA,94109,place,"This trendy 2-bedroom condo is set in one of the most desirable and hip neighborhoods in San Francisco! Pacific Heights, Russian Hill, Civic Center, and Hayes Valley pulse all around. Prime dining, shopping, and entertainment out the front door! Completely dialed in, the floorplan is open, airy, and social. Maple floors gleam. Floor-to-ceiling windows fill the home with light. Broad sliding doors from the living room and bedroom access a wonderful patio. The design is sleek and cohesive. The home is ready for upbeat living and lifestyle. 650 square feet of verdant outdoor space - what a rarity. The modern square-pattern concrete patio is perfected with a neat perimeter of landscaping. This space welcomes a glass of wine with a loved one and thrives for hip gatherings of friends. Exceptional! Only minutes from Peninsula, East Bay or Marin freeway access. Near Whole Foods and the upper Polk corridor. Ultra-easy shuttle access for Silicon Valley tech companies.",2,2,,824,Built 2012,Style  Modern/High Tech,Type Condo/Townhome/Row Home/Co-Op,"$1,299,000",
"('37.779515', '-122.433988')",1406 Golden Gate Ave,San Francisco,CA,94115,place,"This urban chic home is ideally located in the absolute Heart of SF. Just 2 blocks from the historic painted ladies adorning Alamo Square Park + 1 block from the vibrant & trendy shopping & dining hubs of Fillmore & Divisadero Streets - walk to Che Fico, State Bird Provisions and so much more. Stunning and spacious Victorian townhouse with high ceilings and graciously proportioned rooms is flooded with south facing light streaming through huge bay windows and loaded with incredible period architectural details. 3 bedrooms, 2 beautifully remodeled baths + 2 half baths and a full basement with office/media room, wine storage, workout room & laundry. Sunny outdoor area with city views + abundant storage. 1 car leased parking. 95 walkscore - walker's paradise/88 transit score - Excellent transit.",3,3,,,Built 1885,Built 1885,Type Condo/Townhome/Row Home/Co-Op,"$1,495,000",
"('37.786665', '-122.467734')",750-756 Lake St,San Francisco,CA,94118,place,"Set on the edge of The Presidio's lush and peaceful Mountain Lake Park, the four residences that comprise Presidio 9 are spacious, tranquil homes in one of San Francisco's most sought-after locations. With two, three-bedroom residences and two, two-bedroom residences, each home takes up the entire floor of a renovated and reimagined 1911 neighborhood landmark building. â€‹The homes feature Boffi kitchens complimented with a Miele appliance suite, Fantini faucets and White Brazilian Quartzite counters and back splashes. The residences come with Porcelanosa wide plank, European White Oak wood floors, in ceiling audio system and hydronic radiant floor heating. The building features, four car garage parking, a commercial grade elevator with private access to the top three floor and a gleaming lobby with white oak paneling and Italian Salvatori marble floors. The homes at Presidio 9 bristle with light from three sides and feature a unique forest view into Mountain Lake Park.",10,8,,"6,600",Built 1911,Style  Contemporary/Edwardian,Type Multi-Family Home,"$8,795,000",
"('37.719216', '-122.408532')",939 Dartmouth St,San Francisco,CA,94134,place,This sunny semi-detached house located on a quiet cul-de-sac with city and park views! Big family home includes 3 bedrooms 2 baths upstairs and 2 bedrooms 1 bath downstairs with permit. Bursting with natural sunlight. Beautiful hardwood floors throughout. Easy access to 101 freeway.,5,3,"2,996","1,775",Built 1965,Style  Contemporary,Type Single Family Home,"$1,380,000",
"('37.744274', '-122.421344')",199 Tiffany Ave Apt 407,San Francisco,CA,94110,place,"Modern & bright top floor 2bd/2ba condo w/amazing VIEWS of downtown! Located in a desirable location at intersection of 3 coveted SF neighborhoods - Bernal Heights, Mission, & Noe Valley.â€¨ The spacious & bright open-concept kitchen/dining/living room is flooded with natural light. The kitchen is equipped with stainless steel appliances & breakfast bar. The gas fireplace completes the living room. The hall, w/ in-unit laundry & closet, leads to the 2 spacious bedrooms. Enjoy amazing views of downtown from both bedrooms. Closets include organizational systems to optimize closet space. The master boasts an en-suite bath with double vanity & marble tiled shower stall & jetted tub. Includes one-car parking. Large, tranquil common courtyard w/ fire pit. Easy freeway/Muni/Bart access. One block to tech shuttles. Easily walk to the many restaurants, bars, coffee shops, Mitchell's Ice Cream, Safeway, Walgreens, UPS store, & post office.",2,2,,"1,248",Built 2004,Style  Contemporary/Modern/High Tech,Type Condo/Townhome/Row Home/Co-Op,"$1,095,000",
